Tue Nov 15 20:28:46 2022    output.dat

         300715 function calls (298357 primitive calls) in 95.256 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      266    0.001    0.000    0.006    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\artist.py:1046(update)
      812    0.001    0.000    0.038    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\inspect.py:838(getabsfile)
      720    0.001    0.000    0.003    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\ntpath.py:61(isabs)
        1    0.001    0.001    0.001    0.001 {pandas._libs.lib.array_equivalent_object}
       31    0.001    0.000    0.001    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
      320    0.001    0.000    0.002    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\cbook\__init__.py:1691(normalize_kwargs)
      812    0.001    0.000    0.001    0.000 {built-in method nt._getfullpathname}
       10    0.001    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\pandas\core\array_algos\take.py:554(_take_preprocess_indexer_and_fill_value)
     3553    0.001    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
     3465    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
       24    0.001    0.000    0.005    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\ticker.py:633(format_data_short)
     6952    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
       20    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      618    0.001    0.000    0.002    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\transforms.py:1900(__init__)
     1001    0.001    0.000    0.002    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\inspect.py:773(getfile)
     3553    0.001    0.000    0.002    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\abc.py:117(__instancecheck__)
      591    0.001    0.000    0.037    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\cbook\__init__.py:276(process)
       14    0.001    0.000    0.001    0.000 {method 'convert' of 'ImagingCore' objects}
        1    0.001    0.001    0.001    0.001 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\figure.py:2147(__init__)
      237    0.001    0.000    0.002    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\transforms.py:767(__init__)
     1523    0.001    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\transforms.py:107(__init__)
     5559    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
      612    0.001    0.000    0.002    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\cbook\__init__.py:2014(_setattr_cm)
     3744    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     5048    0.001    0.000    0.001    0.000 {function RcParams.__getitem__ at 0x00000236B345DD80}
     3348    0.001    0.000    0.001    0.000 {built-in method builtins.abs}
  484/266    0.001    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\transforms.py:180(_invalidate_internal)
        2    0.001    0.000    0.002    0.001 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axes\_base.py:2867(handle_single_axis)
       43    0.001    0.000    0.021    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:1303(__init__)
     2670    0.001    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\inspect.py:820(<genexpr>)
     1599    0.001    0.000    0.002    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\font_manager.py:1122(_expand_aliases)
      671    0.001    0.000    0.002    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:1582(getint_event)
      134    0.001    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\transforms.py:392(bounds)
        1    0.001    0.001    0.001    0.001 {method 'indices' of 'slice' objects}
       96    0.001    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\artist.py:149(__init__)
       35    0.001    0.000    0.005    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\lines.py:276(__init__)
        7    0.001    0.000    0.001    0.000 {method 'resize' of 'ImagingCore' objects}
        8    0.001    0.000    0.009    0.001 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\ticker.py:2052(_raw_ticks)
     6885    0.001    0.000    0.001    0.000 {built-in method nt.fspath}
       86    0.001    0.000    0.231    0.003 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\inspect.py:932(findsource)
      136    0.001    0.000    0.003    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:38(_wrapit)
  234/136    0.001    0.000    0.003    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\transforms.py:2441(get_affine)
