Tue Nov 15 20:28:46 2022    output.dat

         300715 function calls (298357 primitive calls) in 95.256 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       23    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:355(_escape)
      273    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\font_manager.py:775(get_size_in_points)
       32    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\lines.py:927(_get_markerfacecolor)
       16    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\lines.py:1265(update_from)
        1    0.000    0.000    0.001    0.001 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\pandas\core\indexes\base.py:5265(identical)
       52    0.000    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axes\_base.py:779(viewLim)
        2    0.000    0.000    0.013    0.006 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\_backend_tk.py:72(blit)
       35    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\lines.py:1020(set_color)
      116    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\transforms.py:1772(<lambda>)
       33    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(broadcast_arrays)
        2    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:1689(__init__)
       39    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\transforms.py:365(intervaly)
       27    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\text.py:224(get_rotation)
       28    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\pandas\core\flags.py:83(allows_duplicate_labels)
      4/2    0.000    0.000    0.088    0.044 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\image.py:114(_draw_list_compositing_images)
       28    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\PIL\Image.py:524(__init__)
        4    0.000    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\pandas\core\indexes\base.py:672(_with_infer)
      224    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\artist.py:921(get_agg_filter)
       11    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\cbook\__init__.py:214(connect)
       11    0.000    0.000    0.009    0.001 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:4088(__init__)
      108    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        7    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\pandas\core\internals\managers.py:253(apply)
        2    0.000    0.000    0.091    0.046 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\figure.py:2779(draw)
       23    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:2268(any)
        1    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\path.py:805(circle)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
       50    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\scale.py:116(get_transform)
       10    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
        1    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\cbook\__init__.py:46(_get_running_interactive_framework)
        8    0.000    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\pandas\core\indexes\base.py:5178(equals)
        4    0.000    0.000    0.003    0.001 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\pandas\core\internals\managers.py:634(reindex_indexer)
      108    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:249(match)
       14    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\getlimits.py:382(__new__)
        6    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\pandas\core\indexing.py:638(_get_setitem_indexer)
       28    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
        2    0.000    0.000    0.008    0.004 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\legend.py:602(draw)
       18    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axes\_base.py:2939(_get_axis_list)
        1    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\PIL\BmpImagePlugin.py:1(<module>)
        4    0.000    0.000    0.003    0.001 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axis.py:1860(_get_tick_boxes_siblings)
       74    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       52    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\pandas\core\common.py:346(apply_if_callable)
       28    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\pandas\core\internals\managers.py:172(blklocs)
       30    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\pandas\core\internals\managers.py:1700(__init__)
       61    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:286(tell)
       38    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\cbook\__init__.py:1810(_str_lower_equal)
        2    0.000    0.000    0.000    0.000 {method '_rebuild_blknos_and_blklocs' of 'pandas._libs.internals.BlockManager' objects}
        1    0.000    0.000    0.000    0.000 {method 'get_slice' of 'pandas._libs.internals.BlockManager' objects}
       35    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(column_stack)
       35    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\PIL\Image.py:814(load)
        5    0.000    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axes\_base.py:1055(_set_position)
        1    0.000    0.000    0.002    0.002 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\gridspec.py:666(get_position)
       11    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\cbook\__init__.py:119(_weak_or_strong_ref)
        2    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\inspect.py:3041(_bind)
        5    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\pandas\core\array_algos\take.py:288(_get_take_nd_function_cached)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
        2    0.000    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\pandas\io\formats\format.py:560(__init__)
       56    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:997(get_hatch_path)
        1    0.000    0.000    5.945    5.945 c:\Users\dhruv\Desktop\ATM--main\atm.py:58(checkEmail)
       13    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\tokenize.py:327(find_cookie)
        8    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\subprocess.py:1032(__exit__)
       42    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\pandas\core\indexing.py:957(<genexpr>)
        3    0.000    0.000    0.004    0.001 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\pandas\core\generic.py:3609(take)
        1    0.000    0.000    2.216    2.216 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:3490(show)
        4    0.000    0.000    0.121    0.030 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:837(callit)
       32    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\spines.py:556(__getitem__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      174    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\_api\__init__.py:80(<genexpr>)
        4    0.000    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\spines.py:34(__init__)
        8    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axes\_base.py:3587(_validate_converted_limits)
       99    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\lib\stride_tricks.py:540(<genexpr>)
       36    0.000    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\font_manager.py:687(_from_any)
        3    0.000    0.000    0.002    0.001 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\pandas\core\ops\array_ops.py:227(comparison_op)
       16    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\ticker.py:224(<listcomp>)
        1    0.000    0.000    0.015    0.015 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\_backend_tk.py:488(delayed_destroy)
        4    0.000    0.000    0.003    0.001 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\transforms.py:351(max)
       31    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(cumsum)
        8    0.000    0.000    0.010    0.001 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\ticker.py:2116(tick_values)
      100    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:160(__len__)
        8    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\contextlib.py:452(__init__)
       22    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\transforms.py:341(ymax)
        8    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axes\_base.py:939(get_yaxis_text1_transform)
       22    0.000    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\lines.py:1133(set_marker)
        3    0.000    0.000    0.006    0.002 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:2797(_create)
       36    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\lines.py:711(set_transform)
       84    0.000    0.000    0.000    0.000 {built-in method _struct.unpack_from}
        4    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\path.py:596(get_extents)
        4    0.000    0.000    0.003    0.001 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:2108(get_width_height)
        3    0.000    0.000    0.000    0.000 {built-in method pandas._libs.missing.isnaobj}
        5    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\sre_compile.py:536(_compile_info)
        2    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\figure.py:218(_get_draw_artists)
       11    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axes\_base.py:2942(_get_axis_map)
      110    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\cycler.py:239(__iter__)
       53    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\font_manager.py:721(__eq__)
       53    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\figure.py:2381(_set_dpi)
        6    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\warnings.py:130(filterwarnings)
      221    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\font_manager.py:778(get_file)
        5    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\ntpath.py:180(split)
        1    0.000    0.000    0.004    0.004 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\pandas\io\parsers\readers.py:584(read_csv)
       16    0.000    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\ticker.py:221(format_ticks)
        2    0.000    0.000    0.011    0.006 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axis.py:638(__init__)
        8    0.000    0.000    0.010    0.001 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\ticker.py:2112(__call__)
       18    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axis.py:1938(<genexpr>)
        3    0.000    0.000    0.004    0.001 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axis.py:414(__init__)
       35    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\lines.py:1289(set_dash_joinstyle)
        1    0.000    0.000    0.736    0.736 c:\Users\dhruv\Desktop\ATM--main\atm.py:457(graphChoiceChecker)
       66    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\pandas\core\indexing.py:2486(<genexpr>)
       84    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\PIL\_binary.py:84(i32be)
       22    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\lines.py:690(_transform_path)
     14/8    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\offsetbox.py:216(axes)
       44    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(amin)
        3    0.000    0.000    0.002    0.001 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\pandas\core\ops\array_ops.py:58(comp_method_OBJECT_ARRAY)
     19/7    0.000    0.000    0.034    0.005 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        3    0.000    0.000    0.000    0.000 {pandas._libs.algos.take_2d_axis1_float64_float64}
       10    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_ufunc_config.py:131(geterr)
       21    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\sre_compile.py:249(_compile_charset)
       11    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\pandas\core\dtypes\missing.py:149(_isna)
        8    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\ntpath.py:77(join)
       12    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\pandas\core\indexing.py:1223(_convert_to_indexer)
        2    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\copy.py:66(copy)
        2    0.000    0.000    0.106    0.053 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\backend_tkagg.py:8(draw)
        8    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_methods.py:125(_clip)
       97    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\path.py:233(simplify_threshold)
        4    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:3010(_wait_cursor_for_draw_cm)
       31    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
       23    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(any)
       11    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\weakref.py:47(__new__)
        1    0.000    0.000    0.003    0.003 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\pandas\core\generic.py:3376(to_csv)
       22    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\transforms.py:331(ymin)
       33    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\lib\stride_tricks.py:536(<listcomp>)
       24    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\markers.py:253(__bool__)
       16    0.000    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\ticker.py:1945(__init__)
        6    0.000    0.000    0.003    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\pandas\core\frame.py:587(__init__)
        5    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\pandas\core\dtypes\missing.py:226(_isna_array)
       97    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:193(_reshape_dispatcher)
        6    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\pandas\core\internals\blocks.py:896(setitem)
        1    0.000    0.000    0.001    0.001 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\_pylab_helpers.py:45(destroy)
        2    0.000    0.000    0.001    0.001 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axis.py:2073(_update_label_position)
       29    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\pandas\core\dtypes\common.py:1240(is_float_dtype)
        1    0.000    0.000    0.004    0.004 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\pandas\io\parsers\readers.py:539(_read)
        8    0.000    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\ticker.py:705(set_locs)
       55    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axis.py:340(_set_artist_props)
        5    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\pandas\core\internals\managers.py:2060(_stack_arrays)
        2    0.000    0.000    0.242    0.121 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\cbook\__init__.py:1301(_check_1d)
        1    0.000    0.000    0.002    0.002 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axes\_base.py:2801(autoscale_view)
       21    0.000    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\PIL\PngImagePlugin.py:189(crc)
       16    0.000    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\ticker.py:2740(__init__)
       52    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\text.py:1149(set_x)
       36    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\offsetbox.py:318(<listcomp>)
        1    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\pandas\io\formats\csvs.py:1(<module>)
       35    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\lib\shape_base.py:608(_column_stack_dispatcher)
        7    0.000    0.000    0.012    0.002 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\_api\deprecation.py:381(wrapper)
       31    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\text.py:1265(set_usetex)
      106    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\backend_agg.py:312(points_to_pixels)
      117    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\figure.py:2378(_get_dpi)
       31    0.000    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:2458(cumsum)
       26    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\pandas\core\generic.py:660(ndim)
       24    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\ticker.py:226(format_data)
        4    0.000    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\legend.py:1019(<listcomp>)
        8    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_methods.py:274(_ptp)
        3    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\pandas\core\dtypes\inference.py:98(is_file_like)
        8    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axis.py:1326(_get_tick_label_size)
        9    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\pandas\core\indexes\base.py:654(_simple_new)
        5    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\colors.py:195(_to_rgba_no_colorcycle)
       35    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\lines.py:1347(set_solid_capstyle)
       11    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\codecs.py:309(__init__)
       19    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\pandas\core\generic.py:5561(__getattr__)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
        8    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_methods.py:106(_clip_dep_invoke_with_casting)
        8    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\pandas\core\base.py:744(__iter__)
       54    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axes\_base.py:2940(<genexpr>)
       16    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\scale.py:582(scale_factory)
       12    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:2129(<genexpr>)
       20    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\patches.py:331(_set_edgecolor)
       10    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axis.py:889(_translate_tick_kw)
      218    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\font_manager.py:907(get_math_fontfamily)
       25    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\pathlib.py:606(_format_parsed_parts)
       14    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\transforms.py:374(width)
        8    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\warnings.py:458(__enter__)
       43    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\pandas\core\dtypes\inference.py:321(is_hashable)
       10    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\pandas\core\internals\blocks.py:267(make_block_same_class)
       24    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\cbook\__init__.py:2065(__iter__)
       32    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(round_)
        2    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\lines.py:107(_mark_every_path)
        2    0.000    0.000    0.004    0.002 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axis.py:2342(_update_label_position)
       11    0.000    0.000    0.018    0.002 <frozen importlib._bootstrap>:564(module_from_spec)
        1    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\lib\function_base.py:4567(insert)
       20    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\pandas\core\dtypes\common.py:161(is_object_dtype)
       26    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\transforms.py:1581(get_matrix)
       20    0.000    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\transforms.py:2311(get_matrix)
       35    0.000    0.000    0.000    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\lines.py:492(set_pickradius)
